subject,ave,sd,block,triplet,position,shape_num,RT,RT_trimmed,log_RT_trimmed,change?,block>12,block>18,block>6,"1-avg(2,3)","log_1-avg(2,3)",odd_even
1,463.3090278,298.4766328,9,6,3,18,300,300,5.703782475,0,FALSE,FALSE,TRUE,-16.5,-0.058157965,o
1,463.3090278,298.4766328,9,5,1,13,339,339,5.826000107,0,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,9,5,2,14,307,307,5.726847748,0,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,9,5,3,15,271,271,5.602118821,0,FALSE,FALSE,TRUE,50,0.161516823,e
1,463.3090278,298.4766328,9,7,1,19,306,306,5.723585102,0,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,9,7,2,20,291,291,5.673323267,0,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,9,7,3,21,272,272,5.605802066,0,FALSE,FALSE,TRUE,24.5,0.084022435,o
1,463.3090278,298.4766328,9,2,1,4,307,307,5.726847748,0,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,9,2,2,5,271,271,5.602118821,0,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,9,2,3,6,306,306,5.723585102,0,FALSE,FALSE,TRUE,18.5,0.063995786,e
1,463.3090278,298.4766328,9,3,1,7,269,269,5.59471138,0,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,9,3,2,8,458,458,6.126869184,0,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,9,3,3,9,586,586,6.37331979,0,FALSE,FALSE,TRUE,-253,-0.655383107,o
1,463.3090278,298.4766328,9,8,1,22,455,455,6.120297419,0,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,9,8,2,23,364,364,5.897153868,0,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,9,8,3,24,491,491,6.196444128,0,FALSE,FALSE,TRUE,27.5,0.073498421,e
1,463.3090278,298.4766328,9,4,1,10,561,561,6.329720906,0,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,9,4,2,11,708,708,6.562444094,0,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,9,4,3,12,698,698,6.548219103,0,FALSE,FALSE,TRUE,-142,-0.225610693,o
1,463.3090278,298.4766328,9,1,1,1,554,554,6.317164687,0,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,9,1,2,2,556,556,6.320768294,0,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,9,1,3,3,591,591,6.381816017,0,FALSE,FALSE,TRUE,-19.5,-0.034127469,e
1,463.3090278,298.4766328,10,4,1,10,585,585,6.371611847,0,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,10,4,2,11,750,750,6.620073207,0,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,10,4,3,12,584,584,6.369900983,0,FALSE,FALSE,TRUE,-82,-0.123375247,o
1,463.3090278,298.4766328,10,6,1,16,937,937,6.842683282,0,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,10,6,2,17,678,678,6.519147288,0,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,10,6,3,18,781,781,6.66057515,0,FALSE,FALSE,TRUE,207.5,0.252822063,e
1,463.3090278,298.4766328,10,3,1,7,1216,1060.262293,6.966271603,1,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,10,3,2,8,771,771,6.647688374,0,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,10,3,3,9,657,657,6.487684018,0,FALSE,FALSE,TRUE,346.2622934,0.398585407,o
1,463.3090278,298.4766328,10,1,1,1,739,739,6.605297921,0,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,10,1,2,2,744,744,6.612041035,0,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,10,1,3,3,654,654,6.483107351,0,FALSE,FALSE,TRUE,40,0.057723728,e
1,463.3090278,298.4766328,10,2,1,4,613,613,6.418364936,0,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,10,2,2,5,706,706,6.559615237,0,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,10,2,3,6,643,643,6.466144724,0,FALSE,FALSE,TRUE,-61.5,-0.094515045,o
1,463.3090278,298.4766328,10,5,1,13,763,763,6.637258031,0,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,10,5,2,14,960,960,6.866933284,0,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,10,5,3,15,1334,1060.262293,6.966271603,1,FALSE,FALSE,TRUE,-247.1311467,-0.279344412,e
1,463.3090278,298.4766328,10,7,1,19,1052,1052,6.958448393,0,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,10,7,2,20,906,906,6.809039306,0,FALSE,FALSE,TRUE,,,o
1,463.3090278,298.4766328,10,7,3,21,1849,1060.262293,6.966271603,1,FALSE,FALSE,TRUE,68.8688533,0.070792939,o
1,463.3090278,298.4766328,10,8,1,22,1185,1060.262293,6.966271603,1,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,10,8,2,23,1053,1053,6.959398512,0,FALSE,FALSE,TRUE,,,e
1,463.3090278,298.4766328,10,8,3,24,844,844,6.738152495,0,FALSE,FALSE,TRUE,111.7622934,0.1174961,e
1,463.3090278,298.4766328,11,3,1,7,867,867,6.765038977,0,FALSE,FALSE,TRUE,,,o
